"objectid","filename","title","format","subject (objektyp)","location","object_classification","custody","source","registration_number","description","latitude","longitude","","","","","","","","",""
"coll001","IMG_1.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6266","Buddha head, hair with vertical rows of waves, separate uṣṇīṣa, half-closed eyes, damaged material, front view","","","","","","","","","","",""
"coll001.2","IMG_1.2.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6266","Buddha head, hair with vertical rows of waves, separate uṣṇīṣa, , half-closed eyes, damaged material, side view","","","","","","","","","","",""
"coll002","IMG_2.jpg","Horsehad","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6263","Horse head with bridle and its mane in a bun, damage of material on nose","","","","","","","","","","",""
"coll003","IMG_3.jpg","Bodhisattva head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6264","Bodhisattva head with haie with a central chignon of schematic stacked coils, closed eyes, damaged material, no brokern of pieces, front view","","","","","","","","","","",""
"coll003.1","IMG_3.1.jpg","Bodhisattva head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6264","Bodhisattva head with hair with a central chignon of schematic stacked coils, closed eyes, damaged material, no broken of pieces, side view","","","","","","","","","","",""
"coll004","IMG_4.jpg","Relief head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6267","Small relief head with half-closed eye and long earlobe, front view","","","","","","","","","","",""
"coll004.1","IMG_4.1.jpg","relief head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6267","Small relief head with half-closed eye and long earlobe, side view","","","","","","","","","","",""
"coll005","IMG_5.jpg","Indian men","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6265","Small relief head of an indian type male figure with turban and drooping mustache, front view","","","","","","","","","","",""
"coll005.1","IMG_5.1.jpg","Indian men","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6265","Small relief head of an indian type male figure with turban and drooping mustache, side view","","","","","","","","","","",""
"coll006","IMG_6.jpg","Relief head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6268","Small relief head with closed eyes and hair with vertical borken waves cover ging at centre, not separate uṣṇīṣa, ezelids with medial and lateral corner of eye and eyebrown, nasal dursom with tip of nose, front view","","","","","","","","","","",""
"coll006.1","IMG_6.1.jpg","Relief head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6268","Small relief head with closed eyes and hair with vertical borken waves cover ging at centre, not separate uṣṇīṣa, ezelids with medial and lateral corner of eye and eyebrown, nasal dursom with tip of nose, side view","","","","","","","","","","",""
"coll006.2","IMG_6.2.jpg","Relief head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6268","Small relief head with closed eyes and hair with vertical borken waves cover ging at centre, not separate uṣṇīṣa, ezelids with medial and lateral corner of eye and eyebrown, nasal dursom with tip of nose, side view","","","","","","","","","","",""
"coll007","IMG_7.jpg","Bodhisattva figure","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6272","Bodhisattva relief figure in standing position with turban and male dress with paridhana and uttariya, open eyes, drooping mustache, left hand holding a lotus, damaged material, front view","","","","","","","","","","",""
"coll007.1","IMG_7.1.jpg","Bodhisattva figure","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6272","Bodhisattva relief figure in standing position with turban and male dress with paridhana and uttariya, open eyes, drooping mustache, left hand holding a lotus, damaged material, side view","","","","","","","","","","",""
"coll077.2","IMG_7.2.jpg","Bodhisattva figure","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6272","Bodhisattva relief figure in standing position with turban and male dress with paridhana and uttariya, open eyes, drooping mustache, left hand holding a lotus, damaged material, side view","","","","","","","","","","",""
"coll008","IMG_8.jpg","Bodhisattva figure","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","no number given","Bodhisattva relief in seated in pensive position with right leg crossed over left, closed eyes, hair with central chignon of schematic stacked coils, male dress with paridhana and uttariya, nimbus, dhyanamudra, earring, damaged material, front view","","","","","","","","","","",""
"coll008.1","IMG_8.1.jpg","Bodhisattva figure","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","no number given","Bodhisattva relief in seated in pensive position with right leg crossed over left, closed eyes, hair with central chignon of schematic stacked coils, male dress with paridhana and uttariya, nimbus, dhyanamudra, earring, damaged material, side view","","","","","","","","","","",""
"coll009","IMG_9.jpg","Preaching Buddha","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6274","Buddha with devotees, seated position, nimbus, not separated usnisa, closed eyes, urna, gesture of reassurance, damaged figures, front view","","","","","","","","","","",""
"coll009.1","IMG_9.1.jpg","Preaching Buddha","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6274","Buddha with devotees, seated position, nimbus, not separated usnisa, closed eyes, urna, gesture of reassurance, damaged figures, side view","","","","","","","","","","",""
"coll009.2","IMG_9.2.jpg","Preaching Buddh","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6274","Buddha with devotees, seated position, nimbus, not separated usnisa, closed eyes, urna, gesture of reassurance, damaged figures, side view","","","","","","","","","","",""
"coll010","IMG_10.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, front view","","","","","","","","","","",""
"coll010.1","IMG_10.1.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, front view","","","","","","","","","","",""
"coll010.2","IMG_10.2.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, side view","","","","","","","","","","",""
"coll010.3","IMG_10.3.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, side view","","","","","","","","","","",""
"coll012","IMG_12.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, front view","","","","","","","","","","",""
"coll012.1","IMG_12.1.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, view from above","","","","","","","","","","",""
"coll012.2","IMG_12.2.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, side view","","","","","","","","","","",""
"coll012.3","IMG_12.3.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, side view","","","","","","","","","","",""
"coll013","IMG_13.jpg","Bodhisattva with holy threads ","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, front view","","","","","","","","","","",""
"coll013.1","IMG_13.1.jpg","Bodhisattva with holy threads","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, side view","","","","","","","","","","",""
"coll013.2","IMG_13.2.jpg","Bodhisattva with holy threads","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, side view","","","","","","","","","","",""
"coll013.3","IMG_13.3.jpg","Bodhisattva with holy threads","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, view from above","","","","","","","","","","",""
"coll014","IMG_14.jpg","Bodhisattva in diamond seat","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6271","Bodhisattva seated in pensive position with right leg crossed over left, closed eyes, hair with central chignon of schematic stacked coils, male dress with paridhana and uttariya, nimbus, gesture of reassurance, side view","","","","","","","","","","",""
